# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.108384458078	0	0	0	0	0	0.0
0.000136318114164	0.110429447853	1	0	0	0	0	0.0
0.0009906939517	0.112474437628	2	0	0	0	0	0.0
0.00791835352496	0.114519427403	3	0	0	0	0	0.0
0.00865405670963	0.112474437628	3	1	9	0	1	0.25
0.00867735866224	0.112474437628	3	2	6	0	1	0.25
0.0121601912498	0.114519427403	4	2	6	0	1	0.2
0.0161389936283	0.114519427403	4	3	3	0	1	0.2
0.0186116424809	0.116564417178	5	3	3	0	1	0.166666666667
0.0198780254503	0.118609406953	6	3	3	0	1	0.142857142857
0.0227077661522	0.120654396728	7	3	3	0	1	0.125
0.0233070162952	0.116564417178	7	4	6	0	3	0.3
0.0237141689866	0.118609406953	8	4	6	0	3	0.272727272727
0.0282938806856	0.120654396728	9	4	6	0	3	0.25
0.0287978029544	0.122699386503	10	4	6	0	3	0.230769230769
0.0295054715807	0.124744376278	11	4	6	0	3	0.214285714286
0.0321293447618	0.124744376278	12	4	6	0	3	0.2
0.0353050697714	0.126789366053	13	4	6	0	3	0.1875
0.0358283538458	0.124744376278	13	5	18	0	4	0.235294117647
0.0370762658899	0.126789366053	14	5	18	0	4	0.222222222222
0.0390449520697	0.128834355828	15	5	18	0	4	0.210526315789
0.0400632378311	0.130879345603	16	5	18	0	4	0.2
0.0432709898767	0.132924335378	17	5	18	0	4	0.190476190476
0.0441785403366	0.134969325153	18	5	18	0	4	0.181818181818
0.0515699184756	0.137014314928	19	5	18	0	4	0.173913043478
0.0527749910133	0.139059304703	20	5	18	0	4	0.166666666667
0.0529014378629	0.141104294479	21	5	18	0	4	0.16
0.0529880112944	0.143149284254	22	5	18	0	4	0.153846153846
0.0554225552271	0.141104294479	23	5	18	0	4	0.148148148148
0.0571814199372	0.139059304703	23	6	3	0	5	0.178571428571
0.057202409644	0.137014314928	23	7	6	0	6	0.206896551724
0.0589536726854	0.139059304703	24	7	6	0	6	0.2
0.062075859703	0.141104294479	25	7	6	0	6	0.193548387097
0.0673581900532	0.134969325153	25	8	15	0	9	0.264705882353
0.068356723014	0.137014314928	26	8	15	0	9	0.257142857143
0.0698146661009	0.137014314928	26	9	3	0	9	0.257142857143
0.0721017881327	0.134969325153	27	9	3	0	9	0.25
0.0742398099664	0.134969325153	27	10	6	0	9	0.25
0.0758087372424	0.134969325153	28	10	6	0	9	0.243243243243
0.0765820818862	0.137014314928	29	10	6	0	9	0.236842105263
0.0773660444516	0.139059304703	30	10	6	0	9	0.230769230769
0.0802871981272	0.139059304703	30	11	3	0	9	0.230769230769
0.0815906024293	0.141104294479	31	11	3	0	9	0.225
0.0821640639217	0.141104294479	31	12	3	0	9	0.225
0.0832771649312	0.141104294479	31	13	6	0	9	0.225
