# geo_3.0_sim_0 geo_3.0_sim_1 geo_3.0_sim_2 geo_3.0_sim_3 geo_3.0_sim_4 geo_3.0_sim_5 geo_3.0_sim_6 geo_3.0_sim_7 geo_3.0_sim_8 geo_3.0_sim_9 geo_3.0_sim_10 geo_3.0_sim_11 geo_3.0_sim_12 geo_3.0_sim_13 geo_3.0_sim_14 geo_3.0_sim_15 geo_3.0_sim_16 geo_3.0_sim_17 geo_3.0_sim_18 geo_3.0_sim_19 geo_3.0_sim_20 geo_3.0_sim_21 geo_3.0_sim_22 geo_3.0_sim_23 geo_3.0_sim_24 geo_3.0_sim_25 geo_3.0_sim_26 geo_3.0_sim_27 geo_3.0_sim_28 geo_3.0_sim_29 geo_3.0_sim_30 geo_3.0_sim_31 geo_3.0_sim_32 geo_3.0_sim_33 geo_3.0_sim_34 geo_3.0_sim_35 geo_3.0_sim_36 geo_3.0_sim_37 geo_3.0_sim_38 geo_3.0_sim_39 geo_3.0_sim_40 geo_3.0_sim_41 geo_3.0_sim_42 geo_3.0_sim_43 geo_3.0_sim_44 geo_3.0_sim_45 geo_3.0_sim_46 geo_3.0_sim_47 geo_3.0_sim_48 geo_3.0_sim_49 geo_3.0_sim_50 geo_3.0_sim_51 geo_3.0_sim_52 geo_3.0_sim_53 geo_3.0_sim_54 geo_3.0_sim_55 geo_3.0_sim_56 geo_3.0_sim_57 geo_3.0_sim_58 geo_3.0_sim_59 geo_3.0_sim_60 geo_3.0_sim_61 geo_3.0_sim_62 geo_3.0_sim_63 geo_3.0_sim_64 geo_3.0_sim_65 geo_3.0_sim_66 geo_3.0_sim_67 geo_3.0_sim_68 geo_3.0_sim_69 geo_3.0_sim_70 geo_3.0_sim_71 geo_3.0_sim_72 geo_3.0_sim_73 geo_3.0_sim_74 geo_3.0_sim_75 geo_3.0_sim_76 geo_3.0_sim_77 geo_3.0_sim_78 geo_3.0_sim_79 geo_3.0_sim_80 geo_3.0_sim_81 geo_3.0_sim_82 geo_3.0_sim_83 geo_3.0_sim_84 geo_3.0_sim_85 geo_3.0_sim_86 geo_3.0_sim_87 geo_3.0_sim_88 geo_3.0_sim_89 geo_3.0_sim_90 geo_3.0_sim_91 geo_3.0_sim_92 geo_3.0_sim_93 geo_3.0_sim_94 geo_3.0_sim_95 geo_3.0_sim_96 geo_3.0_sim_97 geo_3.0_sim_98 geo_3.0_sim_99
-1.980290921000000026e+03 -1.952588688999999931e+03 -2.005875766000000112e+03 -1.967714071000000104e+03 -2.141161884000000100e+03 -2.081576895000000150e+03 -1.927681227999999919e+03 -2.120582092999999986e+03 -2.078272243999999773e+03 -2.020605872000000090e+03 -2.102339970999999878e+03 -2.085487200000000030e+03 -2.013226333999999952e+03 -1.926128494000000046e+03 -2.081043008999999984e+03 -2.094447013999999854e+03 -1.999751490000000103e+03 -1.895096465000000080e+03 -1.925067455000000109e+03 -2.041381004999999959e+03 -2.098462774000000081e+03 -2.094588259999999991e+03 -1.842737560000000030e+03 -1.996318099999999959e+03 -1.998968736999999919e+03 -1.979273433000000068e+03 -1.939166222999999945e+03 -1.995394137000000001e+03 -1.987862579999999980e+03 -1.964303865000000087e+03 -2.167806793000000198e+03 -1.951259379000000081e+03 -2.043361272999999983e+03 -2.127285713000000214e+03 -1.975760882000000038e+03 -1.967700227000000041e+03 -2.121324817000000166e+03 -2.055231479000000036e+03 -1.932930720999999949e+03 -2.083135634000000209e+03 -1.886048500999999987e+03 -2.008020878999999923e+03 -1.835126637000000073e+03 -2.079164124999999785e+03 -1.907635011999999961e+03 -2.128325737000000117e+03 -2.127543481000000156e+03 -2.006750000000000000e+03 -2.029352691000000050e+03 -1.894456071999999949e+03 -1.943816066000000092e+03 -1.881938366000000087e+03 -2.105445444999999836e+03 -2.190936521000000084e+03 -1.953153461999999990e+03 -2.033441880999999967e+03 -1.983696758000000045e+03 -2.062075401000000056e+03 -2.060899442999999792e+03 -2.008380321999999978e+03 -2.014118296999999984e+03 -1.893946494000000030e+03 -2.012982469999999921e+03 -1.986974690999999893e+03 -2.037660278999999946e+03 -1.930461250000000064e+03 -2.149462445000000116e+03 -1.912278906000000006e+03 -1.761843043999999963e+03 -1.969972610000000032e+03 -1.912285280999999941e+03 -1.905901319000000058e+03 -1.976025202000000036e+03 -1.985874053999999887e+03 -1.926101331999999957e+03 -1.912009301000000050e+03 -1.945164659000000029e+03 -1.986689331000000038e+03 -1.990144941000000017e+03 -1.910293012000000090e+03 -2.198966507000000092e+03 -1.891960366000000022e+03 -1.978030651000000034e+03 -2.028345581999999922e+03 -2.025094624000000067e+03 -2.030989084000000048e+03 -2.040546622000000070e+03 -1.982977110000000039e+03 -1.997386686999999938e+03 -1.920922184999999899e+03 -1.932713635999999951e+03 -2.046211356000000023e+03 -1.993275996999999961e+03 -1.941374571999999944e+03 -1.810880734000000075e+03 -2.051391509999999926e+03 -1.847642875999999887e+03 -1.955410147999999936e+03 -1.976513028999999960e+03 -2.121277912999999899e+03
1.019968000000000075e+01 7.601309999999999789e+00 4.485030000000000072e+00 8.394069999999999254e+00 7.782549999999999635e+00 8.089859999999999829e+00 7.367630000000000123e+00 8.175219999999999487e+00 7.214750000000000441e+00 8.755539999999999878e+00 1.060801999999999978e+01 1.040976999999999997e+01 1.051712999999999987e+01 7.080370000000000275e+00 1.212505999999999950e+01 7.288280000000000314e+00 9.567080000000000695e+00 1.006154000000000082e+01 8.706049999999999400e+00 1.490368999999999922e+01 1.070499000000000045e+01 1.019721000000000011e+01 6.323990000000000222e+00 7.063830000000000275e+00 9.070259999999999323e+00 9.059210000000000207e+00 1.132521000000000022e+01 8.009610000000000340e+00 1.015381000000000000e+01 9.294620000000000104e+00 7.866900000000000226e+00 8.172729999999999606e+00 8.059599999999999653e+00 6.808390000000000164e+00 9.982900000000000773e+00 9.185290000000000177e+00 9.100170000000000314e+00 6.148119999999999585e+00 7.189020000000000188e+00 6.724590000000000067e+00 7.244640000000000413e+00 1.146320000000000050e+01 9.687390000000000612e+00 7.677959999999999674e+00 7.591560000000000308e+00 6.678149999999999586e+00 1.407540000000000013e+01 1.254321000000000019e+01 6.777709999999999901e+00 7.510270000000000223e+00 9.552270000000000039e+00 9.932859999999999800e+00 6.503070000000000128e+00 6.397789999999999644e+00 1.011378000000000021e+01 1.302252999999999972e+01 8.561650000000000205e+00 1.293294000000000032e+01 8.579810000000000159e+00 7.276690000000000325e+00 8.617200000000000415e+00 7.507259999999999600e+00 8.096539999999999182e+00 7.756170000000000009e+00 8.882319999999999993e+00 1.422283999999999970e+01 6.484340000000000437e+00 7.581929999999999836e+00 7.643869999999999720e+00 8.992229999999999279e+00 8.284259999999999735e+00 7.829449999999999577e+00 9.248469999999999303e+00 1.089568000000000048e+01 9.970110000000000028e+00 1.181246999999999936e+01 8.615399999999999281e+00 9.536070000000000491e+00 1.088063999999999965e+01 9.342209999999999681e+00 7.744970000000000354e+00 7.830879999999999619e+00 9.437739999999999796e+00 9.684889999999999333e+00 6.842509999999999870e+00 6.418969999999999843e+00 5.122899999999999565e+00 8.712170000000000414e+00 1.038343000000000060e+01 8.213620000000000587e+00 9.306729999999999947e+00 7.660929999999999573e+00 7.556090000000000195e+00 8.906980000000000786e+00 1.057637000000000072e+01 7.244019999999999904e+00 1.507404999999999973e+01 6.034229999999999983e+00 1.133234999999999992e+01 5.517129999999999868e+00
1.219889999999999919e+00 9.053999999999999826e-01 9.067100000000000160e-01 8.484099999999999975e-01 9.122099999999999653e-01 9.295700000000000074e-01 1.281940000000000079e+00 1.022729999999999917e+00 9.274299999999999766e-01 1.110079999999999956e+00 9.462500000000000355e-01 1.312019999999999964e+00 8.989599999999999813e-01 1.233009999999999939e+00 9.089300000000000157e-01 1.050880000000000036e+00 9.142900000000000471e-01 8.422699999999999632e-01 9.806399999999999562e-01 9.771300000000000541e-01 1.050000000000000044e+00 1.079730000000000079e+00 7.700599999999999667e-01 1.244669999999999943e+00 9.571600000000000108e-01 1.070850000000000080e+00 8.105200000000000182e-01 8.032000000000000250e-01 1.390549999999999953e+00 1.045160000000000089e+00 9.439499999999999558e-01 7.910700000000000509e-01 7.201100000000000279e-01 8.211699999999999555e-01 1.146530000000000049e+00 1.591460000000000097e+00 9.146499999999999631e-01 7.954700000000000104e-01 8.400999999999999579e-01 1.002979999999999983e+00 1.027109999999999967e+00 9.385599999999999499e-01 1.180549999999999988e+00 8.873299999999999521e-01 9.727400000000000491e-01 9.761900000000000022e-01 1.035069999999999935e+00 1.183840000000000003e+00 1.420490000000000030e+00 1.088929999999999954e+00 1.316829999999999945e+00 1.329550000000000010e+00 1.118049999999999988e+00 9.250800000000000134e-01 1.050200000000000022e+00 1.040910000000000002e+00 1.091650000000000009e+00 9.496799999999999686e-01 1.149820000000000064e+00 1.259929999999999994e+00 9.375200000000000200e-01 1.000909999999999966e+00 1.041930000000000023e+00 1.168530000000000069e+00 1.333650000000000002e+00 1.214560000000000084e+00 9.555700000000000305e-01 1.004709999999999992e+00 9.028399999999999759e-01 9.179000000000000492e-01 9.934199999999999697e-01 7.895199999999999996e-01 8.579099999999999504e-01 8.804300000000000459e-01 1.157899999999999929e+00 1.653499999999999970e+00 1.008129999999999971e+00 9.364999999999999991e-01 1.312189999999999968e+00 1.053889999999999993e+00 1.030850000000000044e+00 1.020510000000000028e+00 7.284000000000000474e-01 9.286699999999999955e-01 9.330800000000000205e-01 1.031150000000000011e+00 1.473419999999999952e+00 9.463599999999999790e-01 1.559530000000000083e+00 1.078430000000000000e+00 9.636000000000000121e-01 9.012499999999999956e-01 1.021779999999999911e+00 1.144030000000000102e+00 1.140419999999999989e+00 1.289860000000000007e+00 1.075819999999999999e+00 1.098179999999999934e+00 1.496690000000000076e+00 1.160239999999999938e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.315400000000000097e-02 3.999999999999999819e-06 1.583070000000000033e-01 1.743649999999999922e-01 3.999999999999999819e-06 2.165569999999999995e-01 9.204999999999999641e-03 2.263280000000000014e-01 3.999999999999999819e-06 3.999999999999999819e-06 1.900600000000000067e-01 3.999999999999999819e-06 3.831999999999999903e-03 3.999999999999999819e-06 1.961380000000000068e-01 1.815769999999999884e-01 3.999999999999999819e-06 1.143199999999999945e-02 1.642750000000000044e-01 2.428450000000000053e-01 3.999999999999999819e-06 2.858999999999999996e-03 3.999999999999999819e-06 2.198090000000000044e-01 9.221000000000000030e-03 1.721060000000000090e-01 1.290799999999999934e-02 1.981169999999999876e-01 3.999999999999999819e-06 1.405619999999999925e-01 3.992400000000000115e-02 8.044000000000000802e-03 2.157519999999999993e-01 2.125160000000000105e-01 2.230260000000000020e-01 1.998340000000000116e-01 1.916140000000000065e-01 1.808200000000000085e-01 6.126999999999999634e-03 1.422779999999999878e-01 3.999999999999999819e-06 3.144460000000000033e-01 1.723939999999999917e-01 2.500999999999999890e-01 2.092080000000000051e-01 2.343760000000000010e-01 3.999999999999999819e-06 6.785000000000000232e-03 7.054000000000000374e-03 1.750140000000000029e-01 3.999999999999999819e-06 1.879879999999999884e-01 3.999999999999999819e-06 1.893900000000000028e-01 3.999999999999999819e-06 3.999999999999999819e-06 6.599999999999999964e-03 2.282649999999999957e-01 3.999999999999999819e-06 1.332679999999999976e-01 2.134799999999999892e-02 1.593779999999999919e-01 1.873940000000000050e-01 1.715609999999999913e-01 1.726199999999999957e-01 1.953580000000000039e-01 3.098409999999999775e-01 2.265330000000000121e-01 3.999999999999999819e-06 1.099299999999999930e-02 1.395059999999999911e-01 1.182099999999999956e-01 1.800009999999999943e-01 2.921190000000000175e-01 3.999999999999999819e-06 1.825090000000000046e-01 3.999999999999999819e-06 1.925419999999999909e-01 7.069999999999999896e-03 1.686479999999999924e-01 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.533039999999999958e-01 3.999999999999999819e-06 8.963999999999999746e-03 2.560479999999999978e-01 3.999999999999999819e-06 1.531199999999999922e-02 7.191000000000000343e-03 2.244549999999999879e-01 2.595799999999999774e-01 1.540169999999999872e-01 3.999999999999999819e-06 3.999999999999999819e-06 1.772579999999999989e-01 1.921279999999999932e-01 8.925000000000000641e-03 3.999999999999999819e-06
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.600500000000000034e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.872800000000000159e-02 1.834600000000000120e-02 1.844900000000000012e-02 2.208799999999999999e-02 2.214400000000000049e-02 3.566999999999999858e-03 4.854999999999999941e-03 5.024900000000000200e-02 1.816800000000000012e-02 2.336399999999999935e-02 3.999999999999999819e-06 3.152800000000000047e-02 3.804500000000000243e-02 2.452000000000000013e-02 2.388900000000000051e-02 2.507099999999999954e-02 6.968199999999999394e-02 2.396300000000000166e-02 4.619000000000000189e-02 1.823599999999999874e-02 3.752099999999999880e-02 1.236100000000000046e-02 3.945599999999999802e-02 1.231200000000000003e-02 6.625799999999999745e-02 5.747999999999999637e-03 6.440999999999999677e-03 3.113900000000000001e-02 2.985000000000000153e-02 5.723199999999999815e-02 4.336000000000000271e-02 2.282800000000000107e-02 3.829599999999999671e-02 8.312999999999999209e-03 1.120200000000000015e-02 1.243599999999999914e-02 4.968999999999999806e-02 1.893999999999999850e-02 1.830599999999999936e-02 1.676899999999999918e-02 4.079200000000000187e-02 3.320499999999999841e-02 3.529899999999999705e-02 3.273600000000000121e-02 3.920699999999999880e-02 1.835600000000000079e-02 2.261399999999999869e-02 2.540600000000000150e-02 1.307099999999999929e-02 1.652299999999999949e-02 2.306800000000000170e-02 4.367000000000000222e-03 6.010700000000000071e-02 3.701399999999999829e-02 2.905900000000000150e-02 2.123699999999999893e-02 4.897599999999999870e-02 3.129599999999999743e-02 4.206700000000000023e-02 3.903199999999999725e-02 1.618700000000000000e-02 5.720100000000000184e-02 2.357800000000000173e-02 4.781599999999999739e-02 1.725499999999999950e-02 6.400999999999999572e-03 3.044699999999999837e-02 3.143100000000000060e-02 7.498999999999999590e-03 3.034900000000000098e-02 2.786599999999999841e-02 1.323000000000000044e-02 3.156500000000000278e-02 9.886999999999999955e-03 3.889100000000000196e-02 7.466999999999999679e-03 3.835700000000000220e-02 1.466300000000000069e-02 1.550099999999999915e-02 3.756899999999999823e-02 3.796900000000000275e-02 1.890199999999999866e-02 2.039499999999999993e-02 2.405200000000000046e-02 5.129100000000000326e-02 1.168100000000000041e-02 1.393299999999999920e-02 2.400000000000000050e-02 3.854500000000000287e-02 2.623899999999999844e-02 1.480700000000000072e-02 4.612100000000000227e-02 3.871000000000000135e-02 1.510799999999999990e-02 5.579999999999999891e-03 3.586500000000000105e-02 3.438999999999999696e-02
