# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.126789366053	0	0	0	0	0	0.0
0.000540632113763	0.126789366053	0	1	3	0	0	0.0
0.000578285674374	0.126789366053	0	2	3	0	0	0.0
0.00258726870948	0.128834355828	1	2	3	0	0	0.0
0.00375236359066	0.130879345603	2	2	3	0	0	0.0
0.00395063743715	0.126789366053	2	3	3	0	2	0.5
0.00719251289529	0.124744376278	2	4	3	0	3	0.6
0.00816668609568	0.126789366053	3	4	3	0	3	0.5
0.00919566442521	0.128834355828	4	4	3	0	3	0.428571428571
0.0113607839251	0.128834355828	4	5	3	0	3	0.428571428571
0.0134424936211	0.128834355828	5	5	3	0	3	0.375
0.0146752914996	0.130879345603	6	5	3	0	3	0.333333333333
0.0185095919595	0.126789366053	6	6	3	0	5	0.454545454545
0.0185816076094	0.124744376278	7	6	3	0	5	0.416666666667
0.0195620837245	0.122699386503	7	7	3	0	6	0.461538461538
0.0210487949703	0.122699386503	7	8	3	0	6	0.461538461538
0.0212557412554	0.122699386503	7	9	3	0	6	0.461538461538
0.021282981238	0.124744376278	8	9	3	0	6	0.428571428571
