# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.0838445807771	0	0	0	0	0	0.0
0.000329495669756	0.0858895705521	1	0	0	0	0	0.0
0.0032772035071	0.0879345603272	2	0	0	0	0	0.0
0.00810110173705	0.0899795501022	3	0	0	0	0	0.0
0.0109765599216	0.0899795501022	3	1	3	0	0	0.0
0.0118140702884	0.0920245398773	4	1	3	0	0	0.0
0.0147033257598	0.0899795501022	4	2	3	0	1	0.2
0.0155912806204	0.0920245398773	5	2	3	0	1	0.166666666667
0.0162169208983	0.0940695296524	6	2	3	0	1	0.142857142857
0.0206131203976	0.0940695296524	6	3	3	0	1	0.142857142857
0.0224399304575	0.0940695296524	6	4	3	0	1	0.142857142857
0.0226989525053	0.0940695296524	6	5	3	0	1	0.142857142857
0.0236231293725	0.0920245398773	6	6	3	0	2	0.25
0.0246605864464	0.0920245398773	6	7	3	0	2	0.25
