# geo_10.0_sim_0 geo_10.0_sim_1 geo_10.0_sim_2 geo_10.0_sim_3 geo_10.0_sim_4 geo_10.0_sim_5 geo_10.0_sim_6 geo_10.0_sim_7 geo_10.0_sim_8 geo_10.0_sim_9 geo_10.0_sim_10 geo_10.0_sim_11 geo_10.0_sim_12 geo_10.0_sim_13 geo_10.0_sim_14 geo_10.0_sim_15 geo_10.0_sim_16 geo_10.0_sim_17 geo_10.0_sim_18 geo_10.0_sim_19 geo_10.0_sim_20 geo_10.0_sim_21 geo_10.0_sim_22 geo_10.0_sim_23 geo_10.0_sim_24 geo_10.0_sim_25 geo_10.0_sim_26 geo_10.0_sim_27 geo_10.0_sim_28 geo_10.0_sim_29 geo_10.0_sim_30 geo_10.0_sim_31 geo_10.0_sim_32 geo_10.0_sim_33 geo_10.0_sim_34 geo_10.0_sim_35 geo_10.0_sim_36 geo_10.0_sim_37 geo_10.0_sim_38 geo_10.0_sim_39 geo_10.0_sim_40 geo_10.0_sim_41 geo_10.0_sim_42 geo_10.0_sim_43 geo_10.0_sim_44 geo_10.0_sim_45 geo_10.0_sim_46 geo_10.0_sim_47 geo_10.0_sim_48 geo_10.0_sim_49 geo_10.0_sim_50 geo_10.0_sim_51 geo_10.0_sim_52 geo_10.0_sim_53 geo_10.0_sim_54 geo_10.0_sim_55 geo_10.0_sim_56 geo_10.0_sim_57 geo_10.0_sim_58 geo_10.0_sim_59 geo_10.0_sim_60 geo_10.0_sim_61 geo_10.0_sim_62 geo_10.0_sim_63 geo_10.0_sim_64 geo_10.0_sim_65 geo_10.0_sim_66 geo_10.0_sim_67 geo_10.0_sim_68 geo_10.0_sim_69 geo_10.0_sim_70 geo_10.0_sim_71 geo_10.0_sim_72 geo_10.0_sim_73 geo_10.0_sim_74 geo_10.0_sim_75 geo_10.0_sim_76 geo_10.0_sim_77 geo_10.0_sim_78 geo_10.0_sim_79 geo_10.0_sim_80 geo_10.0_sim_81 geo_10.0_sim_82 geo_10.0_sim_83 geo_10.0_sim_84 geo_10.0_sim_85 geo_10.0_sim_86 geo_10.0_sim_87 geo_10.0_sim_88 geo_10.0_sim_89 geo_10.0_sim_90 geo_10.0_sim_91 geo_10.0_sim_92 geo_10.0_sim_93 geo_10.0_sim_94 geo_10.0_sim_95 geo_10.0_sim_96 geo_10.0_sim_97 geo_10.0_sim_98 geo_10.0_sim_99
-2.201046396000000186e+03 -2.097782748999999967e+03 -2.106516536000000087e+03 -1.958853761000000077e+03 -2.073637936999999965e+03 -2.050216303000000153e+03 -2.118958345000000008e+03 -2.197677469000000201e+03 -2.046476859999999988e+03 -2.111436024000000089e+03 -2.115427678999999898e+03 -2.031815996999999925e+03 -2.056192108000000189e+03 -2.159544288999999935e+03 -2.257635397999999896e+03 -2.117755392999999913e+03 -1.943567252999999937e+03 -2.015808048000000099e+03 -1.874166674000000057e+03 -2.225886195999999927e+03 -1.970562419000000091e+03 -2.007522496000000046e+03 -2.121723876999999902e+03 -2.051453589000000193e+03 -2.065786631999999827e+03 -2.059727318000000196e+03 -2.164914889000000130e+03 -1.911962594999999965e+03 -2.004112695999999914e+03 -2.031940264999999954e+03 -2.119104574999999841e+03 -2.113608604000000014e+03 -2.115266059999999925e+03 -2.076218593999999939e+03 -2.088772133999999824e+03 -2.049055789999999888e+03 -2.109178631000000223e+03 -2.249652316000000155e+03 -2.203945247999999992e+03 -2.031011600000000044e+03 -2.121847311999999874e+03 -2.099800291999999899e+03 -1.953951641000000109e+03 -2.206708611000000019e+03 -2.011352859000000080e+03 -2.126719525999999860e+03 -2.077767288999999892e+03 -2.230627374000000145e+03 -2.105206474999999955e+03 -2.109088772999999946e+03 -2.105106433999999808e+03 -2.145383883999999853e+03 -2.139331894999999804e+03 -2.163462912999999844e+03 -2.022574900000000071e+03 -2.154404375000000073e+03 -2.133299414000000070e+03 -2.132299320999999964e+03 -2.092417941000000155e+03 -2.105716844000000037e+03 -1.974444265999999971e+03 -2.078956706999999824e+03 -2.050304458999999952e+03 -2.101419081000000006e+03 -1.986167629999999917e+03 -2.305270122999999785e+03 -2.028811095000000023e+03 -2.141333290000000034e+03 -2.036872724000000062e+03 -2.100333586000000196e+03 -2.106094497999999930e+03 -2.103348894000000200e+03 -2.045553159000000051e+03 -2.097741773000000194e+03 -1.936206028000000060e+03 -2.057780106000000160e+03 -1.982531578999999965e+03 -2.005488309999999956e+03 -2.105052299999999832e+03 -2.174028236999999990e+03 -2.041132565999999997e+03 -1.998526742999999897e+03 -2.074223323000000164e+03 -2.105136617999999999e+03 -2.048302251000000069e+03 -2.003835728000000017e+03 -1.982718742999999904e+03 -2.162560672999999952e+03 -1.985371102999999948e+03 -2.165225868999999875e+03 -2.119590839999999844e+03 -2.046046010999999908e+03 -2.037354460000000017e+03 -2.090132607999999891e+03 -2.109015933000000132e+03 -1.951507916999999907e+03 -2.189680096000000049e+03 -2.263124239000000216e+03 -1.996995525000000043e+03 -2.078200517000000218e+03
9.903900000000000148e+00 6.080110000000000348e+00 7.263919999999999710e+00 6.726440000000000197e+00 9.175150000000000361e+00 9.658360000000000056e+00 8.094279999999999475e+00 7.159449999999999648e+00 9.568669999999999121e+00 7.224849999999999994e+00 7.230059999999999931e+00 8.853569999999999496e+00 8.265879999999999228e+00 7.574040000000000106e+00 8.480679999999999552e+00 1.066938999999999993e+01 7.963530000000000442e+00 1.100323999999999991e+01 9.378809999999999647e+00 7.898749999999999716e+00 7.168129999999999669e+00 8.763370000000000104e+00 9.075820000000000221e+00 8.061830000000000496e+00 7.068279999999999674e+00 8.122159999999999158e+00 7.896930000000000227e+00 8.537110000000000198e+00 9.409299999999999997e+00 7.627810000000000201e+00 7.597439999999999749e+00 8.165660000000000807e+00 7.841580000000000439e+00 7.278900000000000148e+00 8.160320000000000462e+00 6.165619999999999656e+00 8.694459999999999411e+00 7.844120000000000203e+00 7.702490000000000059e+00 7.739410000000000345e+00 7.820949999999999847e+00 7.629019999999999690e+00 6.379470000000000418e+00 7.759260000000000268e+00 1.062701999999999991e+01 6.269309999999999938e+00 7.628829999999999778e+00 6.768769999999999953e+00 7.601600000000000357e+00 6.887929999999999886e+00 8.980930000000000746e+00 6.146320000000000228e+00 9.010229999999999961e+00 8.045540000000000802e+00 8.203409999999999869e+00 8.210770000000000124e+00 8.130079999999999529e+00 8.784349999999999881e+00 8.671780000000000044e+00 8.374259999999999593e+00 1.151429000000000080e+01 7.146919999999999717e+00 8.829539999999999722e+00 8.149499999999999744e+00 9.147940000000000182e+00 9.337870000000000559e+00 8.019280000000000186e+00 6.603069999999999773e+00 1.431851999999999947e+01 7.144870000000000054e+00 8.511730000000000018e+00 8.136440000000000339e+00 8.199279999999999902e+00 9.117330000000000823e+00 7.933119999999999727e+00 7.145649999999999835e+00 9.721640000000000725e+00 1.031002999999999936e+01 6.251369999999999649e+00 6.772809999999999775e+00 8.363739999999999952e+00 7.330689999999999706e+00 8.519170000000000798e+00 9.837730000000000530e+00 7.129159999999999719e+00 1.020916000000000068e+01 1.016066000000000003e+01 7.328459999999999752e+00 7.965700000000000003e+00 8.924970000000000070e+00 7.635229999999999961e+00 8.875080000000000524e+00 1.103571999999999953e+01 8.002969999999999473e+00 9.479150000000000631e+00 1.189211000000000062e+01 7.840099999999999625e+00 7.543079999999999785e+00 1.163489000000000040e+01 7.781340000000000146e+00
1.305569999999999897e+00 8.314000000000000279e-01 9.572899999999999743e-01 9.975699999999999568e-01 9.195900000000000185e-01 9.842499999999999583e-01 9.641499999999999515e-01 9.503200000000000536e-01 1.080209999999999892e+00 8.292899999999999716e-01 1.290000000000000036e+00 8.448499999999999899e-01 1.211780000000000079e+00 9.635000000000000231e-01 1.104179999999999939e+00 1.113730000000000109e+00 1.032280000000000086e+00 9.377100000000000435e-01 9.699699999999999989e-01 9.732100000000000195e-01 6.049900000000000277e-01 9.140599999999999836e-01 8.535000000000000364e-01 1.112559999999999993e+00 1.119350000000000067e+00 8.685300000000000242e-01 9.891499999999999737e-01 1.157920000000000060e+00 1.124940000000000051e+00 7.981099999999999861e-01 9.640999999999999570e-01 1.164150000000000018e+00 1.015020000000000033e+00 9.253299999999999859e-01 1.040980000000000016e+00 9.830600000000000449e-01 1.103439999999999976e+00 1.203789999999999916e+00 1.059320000000000039e+00 1.049569999999999892e+00 9.203700000000000214e-01 9.629199999999999982e-01 9.522899999999999698e-01 1.369220000000000104e+00 9.190000000000000391e-01 6.581000000000000183e-01 1.117529999999999912e+00 1.126179999999999959e+00 1.027900000000000036e+00 9.119599999999999929e-01 9.416400000000000325e-01 1.127080000000000082e+00 1.475179999999999936e+00 1.144870000000000054e+00 9.641100000000000225e-01 9.285900000000000265e-01 1.157319999999999904e+00 9.236699999999999910e-01 9.818500000000000005e-01 9.861100000000000421e-01 8.649400000000000421e-01 1.214199999999999946e+00 8.851299999999999724e-01 9.659600000000000408e-01 1.049849999999999950e+00 1.126449999999999951e+00 8.944699999999999873e-01 8.669799999999999729e-01 1.266550000000000065e+00 7.380799999999999583e-01 9.767799999999999816e-01 1.111320000000000086e+00 9.759400000000000297e-01 9.611800000000000344e-01 8.682699999999999863e-01 1.000150000000000095e+00 1.100410000000000110e+00 8.531400000000000095e-01 1.382570000000000077e+00 9.886800000000000033e-01 8.751200000000000090e-01 1.130849999999999911e+00 9.267199999999999882e-01 7.323499999999999455e-01 7.886900000000000022e-01 8.761499999999999844e-01 9.330300000000000260e-01 1.022950000000000026e+00 7.579599999999999671e-01 9.807599999999999651e-01 8.813400000000000123e-01 8.453500000000000458e-01 8.782200000000000006e-01 7.937400000000000011e-01 1.261609999999999898e+00 9.402399999999999647e-01 1.039520000000000000e+00 9.174700000000000077e-01 9.452300000000000146e-01 1.060070000000000068e+00
2.165009999999999990e-01 2.240510000000000002e-01 1.739050000000000040e-01 1.940209999999999990e-01 1.635749999999999982e-01 2.526820000000000177e-01 1.430279999999999885e-01 1.386479999999999935e-01 1.286650000000000016e-01 1.703810000000000047e-01 2.846580000000000221e-01 2.129800000000000026e-01 1.516260000000000108e-01 2.199550000000000116e-01 2.260119999999999907e-01 1.468550000000000133e-01 1.725089999999999957e-01 1.610820000000000030e-01 1.197389999999999982e-01 3.212030000000000163e-01 1.623330000000000051e-01 1.701749999999999929e-01 1.777539999999999953e-01 1.546099999999999974e-01 1.396759999999999946e-01 2.189580000000000137e-01 1.860809999999999964e-01 8.587500000000000688e-02 1.919530000000000125e-01 1.608660000000000090e-01 2.072670000000000068e-01 1.934849999999999903e-01 2.164619999999999878e-01 1.222599999999999937e-01 1.259230000000000071e-01 1.988949999999999885e-01 2.152070000000000094e-01 2.209849999999999870e-01 2.306499999999999939e-01 1.533229999999999871e-01 1.984259999999999913e-01 2.246769999999999878e-01 1.912459999999999993e-01 2.056290000000000062e-01 2.325000000000000122e-01 1.718409999999999938e-01 2.393689999999999984e-01 2.321860000000000035e-01 3.002870000000000261e-01 2.242359999999999909e-01 1.894560000000000133e-01 2.091339999999999866e-01 2.505430000000000157e-01 2.431220000000000048e-01 1.908729999999999871e-01 1.951070000000000026e-01 2.009390000000000065e-01 1.555900000000000061e-01 2.899740000000000095e-01 2.149119999999999919e-01 1.941759999999999875e-01 1.607059999999999877e-01 2.103200000000000069e-01 2.325250000000000095e-01 1.762170000000000125e-01 2.502579999999999805e-01 2.090380000000000016e-01 1.909889999999999921e-01 1.518170000000000075e-01 2.490640000000000076e-01 1.958930000000000116e-01 1.998280000000000056e-01 1.704519999999999924e-01 2.013320000000000110e-01 9.672300000000000342e-02 1.628040000000000043e-01 1.898729999999999862e-01 1.587840000000000085e-01 2.007889999999999953e-01 2.006999999999999895e-01 1.904760000000000064e-01 1.919520000000000115e-01 2.119010000000000060e-01 2.314170000000000116e-01 1.977740000000000054e-01 2.571840000000000237e-01 1.227700000000000041e-01 2.465579999999999994e-01 1.885830000000000006e-01 1.972800000000000109e-01 1.844089999999999896e-01 1.805519999999999903e-01 1.776459999999999984e-01 1.864979999999999971e-01 2.299120000000000053e-01 1.621589999999999976e-01 1.699779999999999902e-01 2.114640000000000131e-01 2.481069999999999942e-01 2.127139999999999864e-01
2.102839999999999987e-01 1.845060000000000033e-01 1.854770000000000030e-01 1.412080000000000002e-01 1.918120000000000103e-01 1.936039999999999983e-01 1.741489999999999982e-01 1.688820000000000043e-01 1.811510000000000065e-01 2.189490000000000047e-01 1.693669999999999898e-01 2.055879999999999930e-01 2.406830000000000080e-01 1.680599999999999872e-01 1.713270000000000071e-01 1.315340000000000120e-01 1.760950000000000015e-01 2.485700000000000132e-01 1.546599999999999919e-01 2.197820000000000051e-01 1.221789999999999959e-01 1.971640000000000059e-01 1.935209999999999986e-01 1.567409999999999914e-01 1.982970000000000010e-01 1.848569999999999935e-01 1.747900000000000009e-01 1.656469999999999887e-01 1.398810000000000053e-01 1.683880000000000099e-01 1.841520000000000101e-01 1.887600000000000111e-01 2.301100000000000090e-01 1.895670000000000133e-01 2.301759999999999917e-01 1.726610000000000089e-01 1.815599999999999992e-01 1.902419999999999944e-01 1.545150000000000134e-01 1.869599999999999873e-01 1.773099999999999954e-01 2.003379999999999883e-01 1.589329999999999909e-01 1.001559999999999950e-01 2.020889999999999909e-01 1.946140000000000092e-01 1.982649999999999968e-01 1.289059999999999928e-01 1.108740000000000003e-01 8.289599999999999747e-02 2.198960000000000081e-01 1.921440000000000092e-01 1.645469999999999988e-01 2.325029999999999875e-01 1.989279999999999937e-01 1.590840000000000032e-01 2.111379999999999924e-01 1.771469999999999989e-01 2.583230000000000248e-01 2.123899999999999955e-01 2.063329999999999886e-01 1.523420000000000052e-01 1.794290000000000052e-01 2.016749999999999932e-01 1.405339999999999923e-01 1.981499999999999928e-01 2.068810000000000093e-01 2.038109999999999922e-01 2.074759999999999938e-01 2.195020000000000027e-01 1.425760000000000083e-01 2.473849999999999938e-01 2.043619999999999881e-01 1.745990000000000042e-01 1.861849999999999894e-01 2.268320000000000058e-01 1.994199999999999862e-01 1.467370000000000063e-01 2.317639999999999978e-01 2.023149999999999948e-01 2.059020000000000017e-01 2.028949999999999920e-01 2.021769999999999956e-01 2.066119999999999901e-01 1.693489999999999995e-01 1.638959999999999861e-01 2.176800000000000124e-01 1.619639999999999969e-01 1.344370000000000009e-01 1.268620000000000025e-01 1.837000000000000022e-01 1.711570000000000036e-01 2.401260000000000061e-01 1.717460000000000098e-01 1.591329999999999967e-01 1.141979999999999940e-01 1.957289999999999863e-01 2.422169999999999879e-01 1.973139999999999894e-01 1.482769999999999921e-01
2.399860000000000049e-01 3.023489999999999789e-01 2.623340000000000116e-01 2.224309999999999898e-01 2.799590000000000134e-01 2.668249999999999789e-01 2.161730000000000040e-01 1.945270000000000055e-01 2.612019999999999897e-01 2.721629999999999883e-01 2.112330000000000041e-01 1.607860000000000122e-01 2.177139999999999909e-01 2.211650000000000005e-01 1.895709999999999895e-01 1.931920000000000026e-01 2.920809999999999795e-01 2.384610000000000063e-01 1.606499999999999873e-01 2.805389999999999828e-01 2.419189999999999952e-01 3.070419999999999816e-01 2.146019999999999872e-01 2.247079999999999911e-01 2.711959999999999926e-01 1.833210000000000117e-01 2.644159999999999844e-01 2.694300000000000028e-01 3.117789999999999728e-01 2.889289999999999914e-01 2.444419999999999926e-01 2.014910000000000034e-01 2.384000000000000008e-01 1.562219999999999998e-01 3.558319999999999816e-01 2.407910000000000050e-01 1.661360000000000059e-01 2.258840000000000015e-01 2.338419999999999943e-01 2.465839999999999976e-01 2.032720000000000082e-01 2.362789999999999890e-01 2.414600000000000080e-01 2.420960000000000056e-01 2.006120000000000125e-01 2.706979999999999942e-01 2.047859999999999958e-01 2.413849999999999885e-01 2.643630000000000146e-01 2.101290000000000102e-01 1.867159999999999931e-01 2.919399999999999773e-01 2.294410000000000061e-01 2.967969999999999775e-01 2.247770000000000046e-01 2.646399999999999864e-01 2.711729999999999974e-01 1.968239999999999990e-01 2.332609999999999961e-01 1.647760000000000058e-01 2.390309999999999935e-01 3.214759999999999840e-01 1.970500000000000029e-01 1.834169999999999967e-01 3.084049999999999847e-01 2.201130000000000031e-01 2.534120000000000261e-01 2.600649999999999906e-01 2.471839999999999871e-01 2.360829999999999873e-01 2.341699999999999893e-01 1.905530000000000002e-01 2.094320000000000070e-01 2.166520000000000112e-01 2.666700000000000181e-01 1.616489999999999871e-01 1.996860000000000024e-01 2.187159999999999938e-01 2.215030000000000054e-01 2.259200000000000097e-01 1.861790000000000112e-01 2.911320000000000019e-01 2.413339999999999930e-01 1.854860000000000120e-01 2.282099999999999962e-01 2.169139999999999957e-01 2.468160000000000076e-01 1.939780000000000115e-01 2.419330000000000092e-01 2.489639999999999909e-01 2.088379999999999959e-01 1.901130000000000042e-01 2.701689999999999925e-01 1.949180000000000079e-01 2.018570000000000086e-01 2.695250000000000146e-01 2.611760000000000193e-01 2.917890000000000206e-01 2.067970000000000086e-01 2.308260000000000034e-01
3.999999999999999819e-06 1.622799999999999937e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.653000000000000060e-03 1.542900000000000001e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.561799999999999994e-02 2.184999999999999876e-03 3.999999999999999819e-06 5.782999999999999946e-03 1.558999999999999969e-02 3.999999999999999819e-06 2.246000000000000166e-03 5.717999999999999992e-03 7.550000000000000287e-03 1.873000000000000099e-03 2.608900000000000108e-02 3.999999999999999819e-06 3.999999999999999819e-06 5.158000000000000258e-03 2.020000000000000040e-04 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.802000000000000129e-02 3.999999999999999819e-06 3.671999999999999917e-03 3.999999999999999819e-06 3.999999999999999819e-06 7.950000000000000252e-04 3.999999999999999819e-06 9.407000000000000431e-03 3.999999999999999819e-06 2.058600000000000013e-02 1.140399999999999921e-02 6.743999999999999995e-03 3.999999999999999819e-06 5.897999999999999597e-03 1.279300000000000055e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.143600000000000019e-02 1.074699999999999961e-02 4.310000000000000137e-04 3.999999999999999819e-06 1.949000000000000038e-02 3.999999999999999819e-06 3.999999999999999819e-06 8.224999999999999672e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.735499999999999890e-02 3.999999999999999819e-06 6.261000000000000072e-03 3.999999999999999819e-06 3.999999999999999819e-06 1.503299999999999949e-02 1.570999999999999914e-03 3.999999999999999819e-06 5.180000000000000143e-04 1.834099999999999966e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.383000000000000156e-03 3.999999999999999819e-06 2.956999999999999993e-03 2.802199999999999830e-02 5.934000000000000039e-03 1.268799999999999963e-02 3.999999999999999819e-06 1.995200000000000098e-02 9.983000000000000554e-03 1.425999999999999967e-03 3.999999999999999819e-06 8.167000000000000648e-03 2.763999999999999964e-03 8.276999999999999635e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.509000000000000029e-03 3.999999999999999819e-06 3.999999999999999819e-06 6.512999999999999692e-03 3.313499999999999779e-02 9.228999999999999357e-03 6.349999999999999742e-03 3.999999999999999819e-06 6.806999999999999683e-03
2.111750000000000016e-01 2.474600000000000133e-01 1.687240000000000129e-01 2.766410000000000258e-01 2.095450000000000090e-01 1.750649999999999984e-01 1.703550000000000064e-01 2.030700000000000005e-01 2.122979999999999867e-01 1.606080000000000008e-01 2.167810000000000015e-01 1.838200000000000112e-01 2.119050000000000100e-01 1.600000000000000033e-01 2.497590000000000088e-01 1.809780000000000000e-01 1.722789999999999877e-01 2.788680000000000048e-01 1.494469999999999965e-01 3.089959999999999929e-01 1.625739999999999963e-01 1.954950000000000021e-01 2.996050000000000102e-01 1.752350000000000019e-01 1.765160000000000062e-01 2.065150000000000041e-01 2.228559999999999985e-01 1.524290000000000089e-01 1.631360000000000032e-01 2.210149999999999892e-01 1.558479999999999865e-01 1.905469999999999942e-01 1.898330000000000017e-01 2.527110000000000190e-01 1.287260000000000071e-01 2.152459999999999929e-01 1.862000000000000044e-01 2.154840000000000089e-01 2.234700000000000020e-01 1.791459999999999997e-01 2.385089999999999988e-01 2.478950000000000042e-01 1.513720000000000065e-01 1.976459999999999884e-01 1.624899999999999956e-01 1.703409999999999924e-01 2.557530000000000081e-01 2.961449999999999916e-01 1.783129999999999993e-01 2.586519999999999930e-01 2.689030000000000031e-01 3.145240000000000258e-01 2.068319999999999881e-01 1.971299999999999997e-01 1.885660000000000114e-01 2.287559999999999871e-01 1.614669999999999994e-01 2.243610000000000049e-01 1.217310000000000059e-01 2.103099999999999969e-01 9.842700000000000060e-02 2.223999999999999866e-01 2.380549999999999888e-01 1.488750000000000073e-01 1.737120000000000053e-01 2.301989999999999870e-01 1.484010000000000051e-01 1.858700000000000074e-01 1.297689999999999955e-01 2.439689999999999914e-01 1.584099999999999953e-01 2.414100000000000135e-01 2.314070000000000016e-01 1.967800000000000105e-01 1.120219999999999966e-01 1.489630000000000121e-01 1.617979999999999974e-01 1.482229999999999936e-01 1.356499999999999928e-01 2.199099999999999944e-01 2.595990000000000242e-01 1.767680000000000085e-01 2.560399999999999898e-01 2.012200000000000100e-01 1.917359999999999898e-01 1.378310000000000091e-01 1.555499999999999938e-01 2.314060000000000006e-01 2.254089999999999983e-01 2.362760000000000138e-01 2.256400000000000072e-01 1.833680000000000032e-01 1.739610000000000045e-01 2.437219999999999942e-01 1.927679999999999949e-01 1.907560000000000089e-01 2.004299999999999971e-01 1.932619999999999894e-01 1.989410000000000067e-01 1.579389999999999961e-01
1.613590000000000024e-01 1.313410000000000133e-01 1.678040000000000087e-01 1.849230000000000040e-01 1.488279999999999881e-01 2.267359999999999931e-01 1.802370000000000083e-01 1.081489999999999951e-01 1.570419999999999872e-01 1.816570000000000129e-01 1.917560000000000098e-01 2.140199999999999880e-01 2.486240000000000117e-01 1.647089999999999943e-01 2.242709999999999981e-01 2.484149999999999969e-01 8.529899999999999982e-02 2.337789999999999868e-01 1.699440000000000117e-01 1.423709999999999976e-01 1.121579999999999938e-01 1.865300000000000014e-01 1.853269999999999917e-01 1.273549999999999960e-01 1.542330000000000090e-01 1.618610000000000049e-01 1.886859999999999926e-01 1.808579999999999910e-01 2.271380000000000066e-01 1.931900000000000006e-01 1.186190000000000022e-01 1.903330000000000022e-01 1.538770000000000138e-01 2.566180000000000128e-01 2.311110000000000109e-01 1.843609999999999971e-01 1.040169999999999983e-01 1.865479999999999916e-01 1.970320000000000127e-01 1.974640000000000006e-01 2.530569999999999764e-01 1.590890000000000082e-01 9.542599999999999694e-02 2.394280000000000019e-01 1.712569999999999926e-01 2.007539999999999880e-01 1.038369999999999987e-01 1.306200000000000139e-01 1.703260000000000052e-01 1.497640000000000082e-01 2.175779999999999936e-01 1.922919999999999907e-01 2.364630000000000065e-01 1.422799999999999898e-01 2.009460000000000135e-01 2.169260000000000077e-01 2.197999999999999954e-01 1.929720000000000046e-01 1.574019999999999864e-01 1.380460000000000020e-01 2.300240000000000062e-01 1.840690000000000104e-01 1.596519999999999884e-01 1.666009999999999991e-01 1.528269999999999906e-01 1.990939999999999932e-01 1.632379999999999942e-01 1.453260000000000107e-01 1.950780000000000014e-01 2.194230000000000069e-01 1.845710000000000128e-01 2.021590000000000054e-01 1.910999999999999921e-01 1.748820000000000097e-01 1.401679999999999870e-01 1.877379999999999882e-01 1.761870000000000103e-01 2.200040000000000051e-01 2.060389999999999999e-01 1.198270000000000030e-01 1.485339999999999994e-01 1.311730000000000118e-01 1.901170000000000082e-01 1.820380000000000054e-01 1.371779999999999944e-01 1.885890000000000066e-01 2.284779999999999867e-01 1.485970000000000069e-01 1.774429999999999896e-01 2.499520000000000075e-01 1.922699999999999965e-01 1.304740000000000066e-01 1.373050000000000104e-01 1.791079999999999894e-01 2.584620000000000251e-01 1.872300000000000075e-01 1.550300000000000011e-01 1.933719999999999883e-01 1.943930000000000102e-01 1.881829999999999892e-01
4.868499999999999911e-02 3.107499999999999846e-02 2.905699999999999950e-02 3.999999999999999819e-06 4.944799999999999890e-02 3.152900000000000147e-02 6.422500000000000431e-02 6.695600000000000163e-02 3.191800000000000193e-02 6.979899999999999993e-02 2.883600000000000052e-02 2.672199999999999923e-02 3.525799999999999768e-02 4.585000000000000187e-02 1.019670000000000021e-01 8.195099999999999607e-02 4.129100000000000131e-02 4.964999999999999795e-03 2.688400000000000165e-02 4.583500000000000074e-02 2.513100000000000056e-02 1.376600000000000046e-02 4.338999999999999975e-03 2.903499999999999831e-02 2.472799999999999998e-02 5.547799999999999954e-02 4.615400000000000058e-02 5.183200000000000307e-02 3.531399999999999817e-02 4.882100000000000328e-02 4.270399999999999890e-02 3.700799999999999923e-02 5.269200000000000272e-02 5.338400000000000090e-02 5.664799999999999697e-02 3.141000000000000042e-02 4.343299999999999939e-02 6.038600000000000217e-02 3.828899999999999665e-02 2.653200000000000003e-02 2.790099999999999872e-02 4.773199999999999665e-02 1.791200000000000084e-02 4.165800000000000058e-02 3.498300000000000021e-02 5.154299999999999854e-02 5.033399999999999680e-02 5.154000000000000248e-02 9.718100000000000349e-02 8.760900000000000631e-02 1.863700000000000079e-02 1.791600000000000137e-02 5.316400000000000292e-02 5.271100000000000091e-02 7.063300000000000134e-02 5.019300000000000150e-02 4.938700000000000034e-02 6.094600000000000017e-02 3.873700000000000060e-02 3.834800000000000014e-02 8.013599999999999890e-02 2.933099999999999943e-02 5.988799999999999679e-02 3.240200000000000025e-02 2.006099999999999897e-02 8.232100000000000528e-02 4.044899999999999884e-02 5.675499999999999989e-02 4.918000000000000149e-02 1.256200000000000025e-02 2.253399999999999848e-02 5.373000000000000172e-03 2.986099999999999866e-02 5.081900000000000306e-02 2.572100000000000081e-02 2.308100000000000082e-02 4.336999999999999883e-02 8.215899999999999592e-02 2.904400000000000037e-02 5.753799999999999887e-02 2.642800000000000010e-02 4.971899999999999931e-02 3.614699999999999858e-02 6.224999999999999631e-03 2.415499999999999939e-02 5.001900000000000096e-02 2.734500000000000125e-02 3.343499999999999944e-02 3.483399999999999691e-02 5.431199999999999917e-02 3.639699999999999880e-02 3.374400000000000316e-02 5.825400000000000023e-02 1.401999999999999948e-02 4.833699999999999802e-02 1.441699999999999926e-02 3.017399999999999943e-02 5.270899999999999891e-02 3.910700000000000287e-02 4.639999999999999680e-02
