# geo_3.0_sim_0 geo_3.0_sim_1 geo_3.0_sim_2 geo_3.0_sim_3 geo_3.0_sim_4 geo_3.0_sim_5 geo_3.0_sim_6 geo_3.0_sim_7 geo_3.0_sim_8 geo_3.0_sim_9 geo_3.0_sim_10 geo_3.0_sim_11 geo_3.0_sim_12 geo_3.0_sim_13 geo_3.0_sim_14 geo_3.0_sim_15 geo_3.0_sim_16 geo_3.0_sim_17 geo_3.0_sim_18 geo_3.0_sim_19 geo_3.0_sim_20 geo_3.0_sim_21 geo_3.0_sim_22 geo_3.0_sim_23 geo_3.0_sim_24 geo_3.0_sim_25 geo_3.0_sim_26 geo_3.0_sim_27 geo_3.0_sim_28 geo_3.0_sim_29 geo_3.0_sim_30 geo_3.0_sim_31 geo_3.0_sim_32 geo_3.0_sim_33 geo_3.0_sim_34 geo_3.0_sim_35 geo_3.0_sim_36 geo_3.0_sim_37 geo_3.0_sim_38 geo_3.0_sim_39 geo_3.0_sim_40 geo_3.0_sim_41 geo_3.0_sim_42 geo_3.0_sim_43 geo_3.0_sim_44 geo_3.0_sim_45 geo_3.0_sim_46 geo_3.0_sim_47 geo_3.0_sim_48 geo_3.0_sim_49 geo_3.0_sim_50 geo_3.0_sim_51 geo_3.0_sim_52 geo_3.0_sim_53 geo_3.0_sim_54 geo_3.0_sim_55 geo_3.0_sim_56 geo_3.0_sim_57 geo_3.0_sim_58 geo_3.0_sim_59 geo_3.0_sim_60 geo_3.0_sim_61 geo_3.0_sim_62 geo_3.0_sim_63 geo_3.0_sim_64 geo_3.0_sim_65 geo_3.0_sim_66 geo_3.0_sim_67 geo_3.0_sim_68 geo_3.0_sim_69 geo_3.0_sim_70 geo_3.0_sim_71 geo_3.0_sim_72 geo_3.0_sim_73 geo_3.0_sim_74 geo_3.0_sim_75 geo_3.0_sim_76 geo_3.0_sim_77 geo_3.0_sim_78 geo_3.0_sim_79 geo_3.0_sim_80 geo_3.0_sim_81 geo_3.0_sim_82 geo_3.0_sim_83 geo_3.0_sim_84 geo_3.0_sim_85 geo_3.0_sim_86 geo_3.0_sim_87 geo_3.0_sim_88 geo_3.0_sim_89 geo_3.0_sim_90 geo_3.0_sim_91 geo_3.0_sim_92 geo_3.0_sim_93 geo_3.0_sim_94 geo_3.0_sim_95 geo_3.0_sim_96 geo_3.0_sim_97 geo_3.0_sim_98 geo_3.0_sim_99
-1.994208877000000030e+03 -1.951489190000000008e+03 -2.005875766000000112e+03 -1.967714071000000104e+03 -2.133422582000000148e+03 -2.081576895000000150e+03 -1.941783609000000069e+03 -2.120582086999999774e+03 -2.094369697000000087e+03 -2.038281365000000051e+03 -2.102339970999999878e+03 -2.085487200000000030e+03 -2.036714829999999893e+03 -1.919464909000000034e+03 -2.081043008999999984e+03 -2.094447013999999854e+03 -2.013050780000000032e+03 -1.903913741999999957e+03 -1.925067455000000109e+03 -2.041381004999999959e+03 -2.089069781000000148e+03 -2.094588259999999991e+03 -1.855862534999999980e+03 -1.996318099999999959e+03 -2.017246270999999979e+03 -1.979273433000000068e+03 -1.947103530000000092e+03 -1.995394137000000001e+03 -1.996999242999999979e+03 -1.964303865000000087e+03 -2.169476353000000017e+03 -1.961490215999999918e+03 -2.043361272999999983e+03 -2.127285713000000214e+03 -1.975760882000000038e+03 -1.967700227000000041e+03 -2.121324814999999944e+03 -2.055231479000000036e+03 -1.926386772999999948e+03 -2.083135634000000209e+03 -1.889462017999999944e+03 -2.008020878999999923e+03 -1.835126643999999942e+03 -2.079164124999999785e+03 -1.907635011999999961e+03 -2.128325737000000117e+03 -2.120921817999999803e+03 -2.028011396999999988e+03 -2.048163284000000203e+03 -1.894456071999999949e+03 -1.957134350999999924e+03 -1.881938366000000087e+03 -2.113778499999999894e+03 -2.190936521000000084e+03 -1.962817459999999983e+03 -2.038396747999999889e+03 -2.006016587999999956e+03 -2.062075401000000056e+03 -2.066805209000000104e+03 -2.008380321999999978e+03 -2.023310465000000022e+03 -1.893946494000000030e+03 -2.012982469999999921e+03 -1.986974690999999893e+03 -2.037660278999999946e+03 -1.930461250000000064e+03 -2.149462445000000116e+03 -1.912278906000000006e+03 -1.785388734000000113e+03 -1.978629560999999967e+03 -1.912285280999999941e+03 -1.905901319000000058e+03 -1.976025202000000036e+03 -1.985874054999999998e+03 -1.931948247999999921e+03 -1.912009301000000050e+03 -1.962596185000000105e+03 -1.986689331000000038e+03 -1.992845638000000008e+03 -1.910293012000000090e+03 -2.198527676000000156e+03 -1.931330797000000075e+03 -2.002760622999999896e+03 -2.025918991999999889e+03 -2.025094624000000067e+03 -2.042332040999999890e+03 -2.041006022999999914e+03 -1.982977110000000039e+03 -2.008062828000000081e+03 -1.923725345000000061e+03 -1.940454698000000008e+03 -2.046211356000000023e+03 -1.993275996999999961e+03 -1.941374571999999944e+03 -1.822915381999999909e+03 -2.077736632999999983e+03 -1.847642875999999887e+03 -1.955410147999999936e+03 -1.975589621000000079e+03 -2.117837414000000081e+03
1.129446000000000083e+01 8.150190000000000268e+00 4.485030000000000072e+00 8.394069999999999254e+00 8.353669999999999263e+00 8.089859999999999829e+00 7.197059999999999569e+00 8.175219999999999487e+00 6.785379999999999967e+00 8.567780000000000840e+00 1.060801999999999978e+01 1.040976999999999997e+01 1.183840999999999966e+01 7.442230000000000345e+00 1.212505999999999950e+01 7.288280000000000314e+00 8.463509999999999422e+00 1.105718000000000067e+01 8.706049999999999400e+00 1.490368999999999922e+01 1.113372000000000028e+01 1.019721999999999973e+01 6.956080000000000041e+00 7.063830000000000275e+00 9.319350000000000023e+00 9.059210000000000207e+00 1.182044999999999924e+01 8.009610000000000340e+00 1.117564999999999920e+01 9.294620000000000104e+00 8.422599999999999199e+00 8.235500000000000043e+00 8.059599999999999653e+00 6.808390000000000164e+00 9.982910000000000394e+00 9.185290000000000177e+00 9.100170000000000314e+00 6.148119999999999585e+00 7.323190000000000310e+00 6.724590000000000067e+00 7.792150000000000354e+00 1.146320000000000050e+01 9.687390000000000612e+00 7.677959999999999674e+00 7.591560000000000308e+00 6.678149999999999586e+00 1.506621999999999950e+01 1.214902000000000015e+01 6.627889999999999837e+00 7.510270000000000223e+00 9.882720000000000837e+00 9.932859999999999800e+00 6.727179999999999715e+00 6.397789999999999644e+00 9.979390000000000427e+00 1.387379999999999924e+01 8.490019999999999456e+00 1.293294000000000032e+01 9.204340000000000188e+00 7.276690000000000325e+00 8.830389999999999517e+00 7.507259999999999600e+00 8.096529999999999561e+00 7.756170000000000009e+00 8.882329999999999615e+00 1.422283999999999970e+01 6.484340000000000437e+00 7.581929999999999836e+00 7.806219999999999715e+00 9.517200000000000770e+00 8.284259999999999735e+00 7.829449999999999577e+00 9.248469999999999303e+00 1.089568000000000048e+01 1.041568000000000005e+01 1.181246999999999936e+01 8.881040000000000489e+00 9.536070000000000491e+00 1.126876999999999995e+01 9.342209999999999681e+00 8.176930000000000476e+00 7.736480000000000246e+00 1.040517999999999965e+01 9.485720000000000596e+00 6.842509999999999870e+00 6.904460000000000264e+00 5.254439999999999777e+00 8.712170000000000414e+00 1.028824999999999967e+01 8.282560000000000144e+00 9.996499999999999275e+00 7.660929999999999573e+00 7.556090000000000195e+00 8.906980000000000786e+00 1.155331999999999937e+01 7.031119999999999592e+00 1.507405999999999935e+01 6.034229999999999983e+00 1.204066000000000081e+01 5.342240000000000322e+00
1.331409999999999982e+00 8.464899999999999647e-01 9.067100000000000160e-01 8.484099999999999975e-01 9.118100000000000094e-01 9.295700000000000074e-01 1.268809999999999993e+00 1.022729999999999917e+00 9.163499999999999979e-01 1.140379999999999949e+00 9.462500000000000355e-01 1.312019999999999964e+00 8.865499999999999492e-01 1.250620000000000065e+00 9.089300000000000157e-01 1.050880000000000036e+00 8.546300000000000008e-01 8.371600000000000152e-01 9.806399999999999562e-01 9.771300000000000541e-01 1.073679999999999968e+00 1.079730000000000079e+00 7.634499999999999620e-01 1.244669999999999943e+00 9.615399999999999503e-01 1.070850000000000080e+00 8.332300000000000262e-01 8.032000000000000250e-01 1.414469999999999894e+00 1.045160000000000089e+00 9.428100000000000369e-01 7.915799999999999503e-01 7.201100000000000279e-01 8.211699999999999555e-01 1.146530000000000049e+00 1.591460000000000097e+00 9.146499999999999631e-01 7.954700000000000104e-01 8.185000000000000053e-01 1.002979999999999983e+00 1.044119999999999937e+00 9.385599999999999499e-01 1.180549999999999988e+00 8.873299999999999521e-01 9.727400000000000491e-01 9.761900000000000022e-01 1.029449999999999976e+00 1.127520000000000078e+00 1.384819999999999940e+00 1.088929999999999954e+00 1.366610000000000102e+00 1.329550000000000010e+00 1.137729999999999908e+00 9.250800000000000134e-01 1.079900000000000082e+00 1.096729999999999983e+00 1.107080000000000064e+00 9.496799999999999686e-01 1.155149999999999899e+00 1.259929999999999994e+00 9.085999999999999632e-01 1.000909999999999966e+00 1.041930000000000023e+00 1.168530000000000069e+00 1.333650000000000002e+00 1.214560000000000084e+00 9.555700000000000305e-01 1.004709999999999992e+00 8.771700000000000053e-01 8.962999999999999856e-01 9.934199999999999697e-01 7.895199999999999996e-01 8.579099999999999504e-01 8.804300000000000459e-01 1.261209999999999942e+00 1.653499999999999970e+00 1.042280000000000095e+00 9.364999999999999991e-01 1.334179999999999922e+00 1.053889999999999993e+00 9.887399999999999523e-01 1.043679999999999941e+00 7.661700000000000177e-01 9.218100000000000183e-01 9.330800000000000205e-01 1.071460000000000079e+00 1.537029999999999896e+00 9.463599999999999790e-01 1.700599999999999890e+00 1.035250000000000004e+00 9.365700000000000136e-01 9.012499999999999956e-01 1.021779999999999911e+00 1.144030000000000102e+00 1.047139999999999960e+00 1.320060000000000011e+00 1.075819999999999999e+00 1.098179999999999934e+00 1.474089999999999900e+00 1.195289999999999964e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.975830000000000197e-01 4.770039999999999836e-01 1.866089999999999971e-01 2.270050000000000123e-01 4.429580000000000184e-01 2.932759999999999811e-01 3.650789999999999869e-01 2.839450000000000029e-01 3.924409999999999843e-01 4.395720000000000183e-01 3.163579999999999726e-01 4.221670000000000145e-01 4.927570000000000006e-01 4.352409999999999890e-01 3.197280000000000122e-01 2.937319999999999931e-01 4.156750000000000167e-01 3.783389999999999809e-01 2.547840000000000105e-01 2.264980000000000049e-01 5.158030000000000115e-01 3.385909999999999753e-01 3.375360000000000027e-01 2.124149999999999927e-01 3.484530000000000127e-01 3.020399999999999752e-01 3.768170000000000130e-01 2.699110000000000120e-01 4.205139999999999989e-01 2.303830000000000044e-01 4.212369999999999726e-01 3.326180000000000248e-01 2.980340000000000211e-01 2.276610000000000023e-01 2.042219999999999869e-01 2.069590000000000041e-01 2.662740000000000107e-01 2.026610000000000078e-01 4.030000000000000249e-01 2.422610000000000041e-01 4.478920000000000123e-01 2.867500000000000049e-01 2.323530000000000040e-01 2.221950000000000036e-01 2.528799999999999937e-01 2.204800000000000093e-01 5.016850000000000476e-01 5.548739999999999783e-01 4.310539999999999927e-01 1.738679999999999948e-01 3.966999999999999971e-01 2.259289999999999909e-01 4.948429999999999773e-01 1.587850000000000095e-01 5.258159999999999501e-01 3.849139999999999784e-01 4.027569999999999761e-01 2.873330000000000051e-01 5.020280000000000298e-01 2.523739999999999872e-01 4.046270000000000144e-01 1.613900000000000057e-01 2.427989999999999871e-01 3.303659999999999930e-01 2.465660000000000074e-01 1.923429999999999862e-01 2.100569999999999937e-01 2.818330000000000002e-01 4.356970000000000010e-01 5.358340000000000325e-01 1.976199999999999901e-01 2.463539999999999897e-01 2.370680000000000009e-01 2.734440000000000204e-01 3.811450000000000116e-01 2.367889999999999995e-01 3.469760000000000066e-01 2.706180000000000252e-01 4.305599999999999983e-01 2.969470000000000165e-01 4.465000000000000080e-01 4.052270000000000039e-01 4.126340000000000008e-01 3.769040000000000168e-01 3.209219999999999851e-01 4.262099999999999778e-01 3.313429999999999986e-01 2.477439999999999920e-01 4.123290000000000011e-01 4.130960000000000187e-01 3.842019999999999880e-01 2.394999999999999907e-01 2.091989999999999961e-01 2.483249999999999902e-01 3.931629999999999847e-01 4.364959999999999951e-01 2.706259999999999777e-01 1.817580000000000029e-01 4.356820000000000137e-01 3.582380000000000009e-01
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.315400000000000097e-02 3.999999999999999819e-06 1.583070000000000033e-01 1.743649999999999922e-01 3.999999999999999819e-06 2.165569999999999995e-01 9.204999999999999641e-03 2.263280000000000014e-01 3.999999999999999819e-06 3.999999999999999819e-06 1.900600000000000067e-01 3.999999999999999819e-06 3.831999999999999903e-03 3.999999999999999819e-06 1.961380000000000068e-01 1.815769999999999884e-01 3.999999999999999819e-06 1.143199999999999945e-02 1.642750000000000044e-01 2.428450000000000053e-01 3.999999999999999819e-06 2.858999999999999996e-03 3.999999999999999819e-06 2.198090000000000044e-01 9.221000000000000030e-03 1.721060000000000090e-01 1.290799999999999934e-02 1.981169999999999876e-01 3.999999999999999819e-06 1.405619999999999925e-01 3.992400000000000115e-02 8.044000000000000802e-03 2.157519999999999993e-01 2.125160000000000105e-01 2.230260000000000020e-01 1.998340000000000116e-01 1.916140000000000065e-01 1.808200000000000085e-01 6.126999999999999634e-03 1.422779999999999878e-01 3.999999999999999819e-06 3.144460000000000033e-01 1.723939999999999917e-01 2.500999999999999890e-01 2.092080000000000051e-01 2.343760000000000010e-01 3.999999999999999819e-06 6.785000000000000232e-03 7.054000000000000374e-03 1.750140000000000029e-01 3.999999999999999819e-06 1.879879999999999884e-01 3.999999999999999819e-06 1.893900000000000028e-01 3.999999999999999819e-06 3.999999999999999819e-06 6.599999999999999964e-03 2.282649999999999957e-01 3.999999999999999819e-06 1.332679999999999976e-01 2.134799999999999892e-02 1.593779999999999919e-01 1.873940000000000050e-01 1.715609999999999913e-01 1.726199999999999957e-01 1.953580000000000039e-01 3.098409999999999775e-01 2.265330000000000121e-01 3.999999999999999819e-06 1.099299999999999930e-02 1.395059999999999911e-01 1.182099999999999956e-01 1.800009999999999943e-01 2.921190000000000175e-01 3.999999999999999819e-06 1.825090000000000046e-01 3.999999999999999819e-06 1.925419999999999909e-01 7.069999999999999896e-03 1.686479999999999924e-01 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.533039999999999958e-01 3.999999999999999819e-06 8.963999999999999746e-03 2.560479999999999978e-01 3.999999999999999819e-06 1.531199999999999922e-02 7.191000000000000343e-03 2.244549999999999879e-01 2.595799999999999774e-01 1.540169999999999872e-01 3.999999999999999819e-06 3.999999999999999819e-06 1.772579999999999989e-01 1.921279999999999932e-01 8.925000000000000641e-03 3.999999999999999819e-06
3.085700000000000109e-01 3.942289999999999961e-01 2.083699999999999997e-01 1.639100000000000001e-01 4.707569999999999810e-01 1.304829999999999879e-01 3.218509999999999982e-01 1.850519999999999943e-01 3.481790000000000163e-01 3.605320000000000191e-01 1.667079999999999951e-01 3.462319999999999842e-01 4.368830000000000213e-01 3.307640000000000025e-01 1.626160000000000105e-01 1.909679999999999989e-01 4.067990000000000217e-01 3.925460000000000060e-01 2.039910000000000057e-01 2.265919999999999879e-01 4.640859999999999985e-01 3.913099999999999912e-01 3.093069999999999986e-01 1.554750000000000021e-01 3.391989999999999728e-01 1.273440000000000127e-01 3.481230000000000158e-01 1.639599999999999946e-01 3.927579999999999960e-01 1.576249999999999873e-01 4.695610000000000062e-01 4.344990000000000241e-01 1.023310000000000053e-01 1.517499999999999960e-01 2.142670000000000130e-01 2.136869999999999881e-01 1.674059999999999993e-01 1.776339999999999864e-01 3.663649999999999962e-01 2.499679999999999958e-01 3.996379999999999932e-01 8.389900000000000135e-02 1.367740000000000067e-01 1.142900000000000027e-01 1.399970000000000103e-01 1.538309999999999955e-01 3.884400000000000075e-01 3.390270000000000228e-01 4.361479999999999801e-01 1.681239999999999957e-01 3.141189999999999816e-01 1.613449999999999884e-01 4.149869999999999948e-01 1.907320000000000126e-01 3.433729999999999838e-01 3.809730000000000061e-01 3.656869999999999843e-01 1.676890000000000047e-01 3.647610000000000019e-01 2.203140000000000098e-01 3.267010000000000192e-01 1.470680000000000043e-01 1.853990000000000082e-01 1.240570000000000006e-01 2.153660000000000019e-01 1.646160000000000123e-01 1.416449999999999931e-01 1.425230000000000108e-01 3.720519999999999938e-01 3.602270000000000194e-01 1.766349999999999865e-01 2.150839999999999974e-01 2.099499999999999977e-01 1.456850000000000089e-01 3.202679999999999971e-01 1.515320000000000000e-01 3.372209999999999930e-01 1.789729999999999932e-01 3.967069999999999763e-01 1.671999999999999875e-01 3.875199999999999756e-01 3.035059999999999980e-01 3.108639999999999737e-01 3.229870000000000241e-01 1.427849999999999953e-01 3.591989999999999905e-01 3.602810000000000179e-01 2.019680000000000086e-01 3.108560000000000212e-01 3.441730000000000067e-01 3.873710000000000209e-01 1.176159999999999983e-01 1.447740000000000138e-01 1.316549999999999943e-01 2.920030000000000125e-01 4.074340000000000184e-01 1.259180000000000021e-01 1.695740000000000025e-01 2.873120000000000118e-01 3.900290000000000146e-01
4.367100000000000148e-02 3.066999999999999935e-02 5.211299999999999960e-02 1.874400000000000024e-02 3.725900000000000045e-02 6.210100000000000342e-02 2.435100000000000112e-02 3.999999999999999819e-06 7.968100000000000183e-02 7.519099999999999395e-02 2.429299999999999862e-02 6.235899999999999777e-02 5.144800000000000068e-02 6.411600000000000632e-02 5.729800000000000171e-02 6.335300000000000653e-02 6.777800000000000491e-02 3.205800000000000316e-02 3.085600000000000148e-02 8.300000000000000086e-04 5.016700000000000326e-02 3.851700000000000262e-02 3.149500000000000216e-02 5.861999999999999850e-02 4.372199999999999698e-02 2.132699999999999874e-02 5.707099999999999673e-02 1.159299999999999914e-02 4.450400000000000189e-02 4.553000000000000103e-02 3.250200000000000311e-02 1.973199999999999954e-02 3.976699999999999680e-02 4.054399999999999671e-02 2.132900000000000074e-02 2.502000000000000057e-02 6.696299999999999475e-02 2.888800000000000048e-02 4.419900000000000218e-02 3.626900000000000263e-02 3.122600000000000028e-02 1.329400000000000026e-02 3.069099999999999953e-02 8.789800000000000391e-02 2.419299999999999923e-02 7.829899999999999360e-02 9.673299999999999954e-02 8.678400000000000003e-02 3.078499999999999986e-02 5.173999999999999780e-03 6.331499999999999628e-02 2.544099999999999834e-02 4.921500000000000180e-02 2.100099999999999884e-02 5.719500000000000278e-02 3.838300000000000045e-02 7.458199999999999552e-02 1.051969999999999988e-01 7.728500000000000647e-02 4.255599999999999661e-02 4.407799999999999913e-02 1.443400000000000065e-02 4.839399999999999952e-02 7.386700000000000210e-02 2.113800000000000054e-02 2.215800000000000061e-02 2.177099999999999869e-02 5.635600000000000331e-02 5.105900000000000022e-02 5.868799999999999711e-02 4.336099999999999677e-02 2.574999999999999858e-02 1.792200000000000043e-02 1.803499999999999895e-02 5.090100000000000180e-02 5.067499999999999782e-02 9.133700000000000152e-02 2.781399999999999845e-02 3.019200000000000009e-02 4.060500000000000220e-02 4.287500000000000339e-02 4.187099999999999850e-02 3.277200000000000252e-02 4.386199999999999821e-02 3.869299999999999823e-02 6.203600000000000086e-02 9.978099999999999470e-02 2.465200000000000030e-02 2.841799999999999882e-02 4.506799999999999695e-02 2.983099999999999988e-02 1.606399999999999842e-02 2.777800000000000061e-02 2.483199999999999991e-02 4.580900000000000249e-02 7.542799999999999505e-02 3.633399999999999824e-02 5.297999999999999932e-02 3.891499999999999820e-02 4.360200000000000187e-02
2.600500000000000034e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.872800000000000159e-02 1.834600000000000120e-02 1.844900000000000012e-02 2.208799999999999999e-02 2.214400000000000049e-02 3.566999999999999858e-03 4.854999999999999941e-03 5.024900000000000200e-02 1.816800000000000012e-02 2.336399999999999935e-02 3.999999999999999819e-06 3.152800000000000047e-02 3.804500000000000243e-02 2.452000000000000013e-02 2.388900000000000051e-02 2.507099999999999954e-02 6.968199999999999394e-02 2.396300000000000166e-02 4.619000000000000189e-02 1.823599999999999874e-02 3.752099999999999880e-02 1.236100000000000046e-02 3.945599999999999802e-02 1.231200000000000003e-02 6.625799999999999745e-02 5.747999999999999637e-03 6.440999999999999677e-03 3.113900000000000001e-02 2.985000000000000153e-02 5.723199999999999815e-02 4.336000000000000271e-02 2.282800000000000107e-02 3.829599999999999671e-02 8.312999999999999209e-03 1.120200000000000015e-02 1.243599999999999914e-02 4.968999999999999806e-02 1.893999999999999850e-02 1.830599999999999936e-02 1.676899999999999918e-02 4.079200000000000187e-02 3.320499999999999841e-02 3.529899999999999705e-02 3.273600000000000121e-02 3.920699999999999880e-02 1.835600000000000079e-02 2.261399999999999869e-02 2.540600000000000150e-02 1.307099999999999929e-02 1.652299999999999949e-02 2.306800000000000170e-02 4.367000000000000222e-03 6.010700000000000071e-02 3.701399999999999829e-02 2.905900000000000150e-02 2.123699999999999893e-02 4.897599999999999870e-02 3.129599999999999743e-02 4.206700000000000023e-02 3.903199999999999725e-02 1.618700000000000000e-02 5.720100000000000184e-02 2.357800000000000173e-02 4.781599999999999739e-02 1.725499999999999950e-02 6.400999999999999572e-03 3.044699999999999837e-02 3.143100000000000060e-02 7.498999999999999590e-03 3.034900000000000098e-02 2.786599999999999841e-02 1.323000000000000044e-02 3.156500000000000278e-02 9.886999999999999955e-03 3.889100000000000196e-02 7.466999999999999679e-03 3.835700000000000220e-02 1.466300000000000069e-02 1.550099999999999915e-02 3.756899999999999823e-02 3.796900000000000275e-02 1.890199999999999866e-02 2.039499999999999993e-02 2.405200000000000046e-02 5.129100000000000326e-02 1.168100000000000041e-02 1.393299999999999920e-02 2.400000000000000050e-02 3.854500000000000287e-02 2.623899999999999844e-02 1.480700000000000072e-02 4.612100000000000227e-02 3.871000000000000135e-02 1.510799999999999990e-02 5.579999999999999891e-03 3.586500000000000105e-02 3.438999999999999696e-02
