# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.112474437628	0	0	0	0	0	0.0
0.00351003586426	0.112474437628	0	1	3	0	0	0.0
0.00379268181717	0.114519427403	1	1	3	0	0	0.0
0.00740298884742	0.114519427403	1	2	3	0	0	0.0
0.00833084014932	0.114519427403	1	3	3	0	0	0.0
0.00945814295947	0.112474437628	1	4	3	0	1	0.5
0.00978275866742	0.112474437628	1	5	3	0	1	0.5
0.00980408421739	0.114519427403	2	5	3	0	1	0.333333333333
0.0138776505207	0.112474437628	3	5	3	0	1	0.25
0.0162945269879	0.114519427403	4	5	3	0	1	0.2
0.0175786900914	0.116564417178	5	5	3	0	1	0.166666666667
0.0180029428236	0.114519427403	5	6	3	0	2	0.285714285714
0.0203747028923	0.114519427403	5	7	3	0	2	0.285714285714
0.0203822301263	0.116564417178	6	7	3	0	2	0.25
0.0228335393961	0.116564417178	6	8	3	0	2	0.25
0.0230875962844	0.116564417178	6	9	3	0	2	0.25
0.0238343968802	0.114519427403	7	9	3	0	2	0.222222222222
0.0247603741331	0.114519427403	7	10	3	0	2	0.222222222222
